#Item	Label	Description	Site on enwiki
Q1392	Battle of Nieuwpoort	battle between the Dutch and the Spanish in the city of Nieuwpoort, now in Belgium	Battle of Nieuwpoort
Q3956	Battle of Jarama	part of the Spanish Civil War	Battle of Jarama
Q4373	Battle of White Mountain	battle in the Thirty Years' War	Battle of White Mountain
Q4411	Battle of Valmy	victory by the army of France during the Revolutionary Wars that followed the French Revolution	Battle of Valmy
Q14689	Battle of the Ice	Part of Northern Crusades	Battle on the Ice (Lake Peipus)
Q16470	Normandy landings	landing operations of the Allied invasion of Normandy	Normandy landings
Q16471	Invasion of Normandy	invasion and establishment of Western Allied forces in Normandy during WWII	Invasion of Normandy
Q17594	Battle of Dresden	Part of the War of the Sixth Coalition	Battle of Dresden
Q26496	Battle of Surabaya	part of Indonesian National Revolution	Battle of Surabaya
Q27759	Battle of Crécy	battle of the Hundred Years' War	Battle of Crécy
Q27900	Siege of Constantinople (717-718)	combined land and sea offensive by the Arabs of the Umayyad Caliphate against the capital city of the Byzantine Empire, Constantinople	Siege of Constantinople (717–718)
Q32493	Battle of Rocoux	battle during the War of the Austrian Succession, result was French victory	Battle of Rocoux
Q32832	Battle of Varna		Battle of Varna
Q33132	Battle of Gettysburg	battle of the American Civil War, July 1–3, 1863	Battle of Gettysburg
Q33570	Battle of Grunwald	Battle of Teutonic Knights against Polish–Lithuanian union in 1410	Battle of Grunwald
Q38789	Battle of Stalingrad	major battle of World War II	Battle of Stalingrad
Q40144	Battle of Coronel	naval battle of 1 November 1914 off the coast of central Chile in World War I	Battle of Coronel
Q40559	Battle of Le Mans	Prussian victory during the Franco-Prussian War	Battle of Le Mans
Q41320	Battle of Denain		Battle of Denain
Q41894	Battle of New Orleans		Battle of New Orleans
Q44732	Battle of the Golden Spurs		Battle of the Golden Spurs
Q48163	Battle of Custoza		Battle of Custoza (1866)
Q48202	Battle of Custoza		Battle of Custoza (1848)
Q48253	Battle of Kulm		Battle of Kulm
Q48314	Battle of Waterloo	battle of the Napoleonic Wars in which Napoleon was defeated	Battle of Waterloo
Q48776	Battle of Palmito Ranch	American Civil War battle	Battle of Palmito Ranch
Q52226	Battle of Mogadishu	battle fought on 3 and 4 October 1993, in Mogadishu, Somalia	Battle of Mogadishu (1993)
Q55504	Battle of Azaz		Battle of Azaz (1125)
Q55635	Batalla del Monte de las Cruces	battle of the early Mexican War of Independence	Battle of Monte de las Cruces
Q58459	Battle between HMAS Sydney and German auxiliary cruiser Kormoran	naval battle during World War II	Battle between HMAS Sydney and German auxiliary cruiser Kormoran
Q58732	Siege of Malta	Ottoman Empire's invasion of Malta in 1565	Great Siege of Malta
Q63431	Invasion of Martinique	A military action that took place in January and February 1762. It was part of the Seven Years' War.	Invasion of Martinique (1762)
Q63468	Battle of Pavia	24 February 1525, was the decisive engagement of the Italian War of 1521–26	Battle of Pavia
Q63701	Battle of Saint-Omer		Battle of Saint-Omer
Q73194	Battle of Dogger Bank		Battle of Dogger Bank (1915)
Q74391	Battle of Nauheim		Battle of Nauheim
Q76914	Battle of Cepeda		Battle of Cepeda (1859)
Q83224	Battle of Hastings 1066	battle which occurred on 15 October 1066	Battle of Hastings
Q112016	Battle of the Persian Gate	victory of the invading Macedonian army, commanded by Alexander the Great, over the Persian army	Battle of the Persian Gate
Q127299	Battle of Kolín		Battle of Kolín
Q130847	Battle of Verdun	battle on the Western Front during the First World War	Battle of Verdun
Q130861	Battle of Kursk	World War II battle in the Soviet Union	Battle of Kursk
Q131386	Battle of Alesia		Battle of Alesia
Q132568	Battle of the Somme	Battle of the Western Front, World War I	Battle of the Somme
Q134114	Battle of Austerlitz	battle of the Napoleonic Wars	Battle of Austerlitz
Q135468	Battle of Haw's Shop		Battle of Haw's Shop
Q136344	Battle of Köse Dağ		Battle of Köse Dağ
Q145588	Battle of Gumbinnen		Battle of Gumbinnen
Q149560	Battle of Stallupönen		Battle of Stallupönen
Q151018	Battle of the Bulge	German offensive through the Ardennes forest on the Western Front towards the end of World War II	Battle of the Bulge
Q151290	Battle of Moscow	periods of strategically significant fighting on a 600 km (370 mi) sector of the Eastern Front during World War II	Battle of Moscow
Q152486	Battle of Poltava		Battle of Poltava
Q153858	Battle of Tannenberg		Battle of Tannenberg
Q154182	Battle of Berlin	final major offensive of the European theatre of World War II	Battle of Berlin
Q154426	Battle of Jena-Auerstedt		Battle of Jena–Auerstedt
Q154635	Battle of Blenheim		Battle of Blenheim
Q154720	Battle of Britain	air campaign waged by the German Air Force during WWII	Battle of Britain
Q154942	Battle of Königgrätz	decisive battle of the Austro-Prussian War	Battle of Königgrätz
Q155302	Battle of Loigny-Poupry		Battle of Loigny–Poupry
Q155726	Battle of Narva		Battle of Narva (1700)
Q156554	Battle of Jutland		Battle of Jutland
Q156681	Battle of Sedan		Battle of Sedan (1870)
Q158054	Battle of Lissa	naval battle where an Austrian fleet defeated an Italian fleet, also the first major sea battle between ironclads	Battle of Lissa (1866)
Q159072	Battle of Ulm		Battle of Ulm
Q159512	Battle of Legnica		Battle of Legnica
Q160011	Battle of the Falkland Islands	battle of World War I	Battle of the Falkland Islands
Q160077	fall of Constantinople		Fall of Constantinople
Q160387	battle of Actium		Battle of Actium
Q161325	Battle of Ramillies		Battle of Ramillies
Q162284	Battle of Kiev (1941)	battle resulting in a large encirclement of Soviet troops in the vicinity of Kiev during World War II	Battle of Kiev (1941)
Q162287	Battle of Hürtgen Forest	series of battles fought between US and German forces during World War II in the Hürtgen Forest of Germany	Battle of Hürtgen Forest
Q163959	Battle of Héricourt		Battle of Héricourt
Q164983	Gallipoli campaign	World War I campaign that took place on the Gallipoli peninsula	Gallipoli Campaign
Q165425	Battle of Lepanto	victory of a coalition of southern European Catholic maritime states over the main fleet of the Ottoman Empire	Battle of Lepanto
Q165549	Battle of the Bzura	battle in the opening campaign of World War II during the 1939 German invasion of Poland	Battle of the Bzura
Q166961	Battle of Shrewsbury		Battle of Shrewsbury
Q167259	Battle of Lützen (1632)	battle during the Thirty Years' War, 1632	Battle of Lützen (1632)
Q169023	Battle of Talavera		Battle of Talavera
Q169602	Battle of Jakobstadt		Battle of Jakobstadt
Q170400	Battle of Kunersdorf		Battle of Kunersdorf
Q171416	Battle of Trafalgar		Battle of Trafalgar
Q173077	Battle of Tours	This is about the battle of Tours (between Tours and Poitiers). Date of this battle : 25 october 732.  Belligerents : Merovingian Franks vs Umayyad Caliphate.	Battle of Tours
Q176216	Battle of Yellow Tavern		Battle of Yellow Tavern
Q176915	Battle of Tinian	battle of the Pacific campaign of World War II on the island of Tinian in the Mariana Islands	Battle of Tinian
Q177470	Battle of Stoney Creek	War of 1812 battle	Battle of Stoney Creek
Q178510	battle of Mohács		Battle of Mohács
Q178842	Battle of Waterberg	decisive battle in the German campaign against the Herero	Battle of Waterberg
Q179288	battle of Kosovo	battle on 15-16th June of 1389th	Battle of Kosovo
Q179591	Battle of Cannae	major battle of the Second Punic War, in which the army of Carthage defeated a larger army of the Roman Republic	Battle of Cannae
Q179670	Battle of Gaugamela		Battle of Gaugamela
Q180182	Battle of Iwo Jima	major battle in which US Forces captured the island of Iwo Jima from Japan during World War II	Battle of Iwo Jima
Q180659	Battle of Wilson's Creek		Battle of Wilson's Creek
Q182530	Battle of Badajoz		Battle of Badajoz (1936)
Q184320	Battle of Borodino	battle of the French invasion of Russia during the Napoleonic Wars	Battle of Borodino
Q186107	Battle of Stockach	A battle between French and Austrian armies.	Battle of Stockach (1799)
Q188123	Battle of Villiers		Battle of Villiers
Q188495	Battle of Agincourt		Battle of Agincourt
Q190712	First Battle of the Marne	First World War battle	First Battle of the Marne
Q192473	Battle of Adrianople		Battle of Adrianople
Q192938	Battle of the Granicus		Battle of the Granicus
Q193993	Battle of Pea Ridge		Battle of Pea Ridge
Q194226	Battle of Yarmouk	battle of the Arab–Byzantine wars	Battle of Yarmouk
Q194329	Battle of Five Forks		Battle of Five Forks
Q199371	Battle of Megiddo		Battle of Megiddo (1918)
Q200032	battle of Manzikert	battle between the Byzantine Empire and Seljuq Turks of 1071	Battle of Manzikert
Q200056	Battle of Zama	final battle of the Second Punic War	Battle of Zama
Q200682	Battle of Queenston Heights	War of 1812 battle	Battle of Queenston Heights
Q201526	Battle of Issus		Battle of Issus
Q201692	Battle of Poitiers		Battle of Poitiers
Q203225	Battle of Stamford Bridge		Battle of Stamford Bridge
Q203233	Battle of Plassey		Battle of Plassey
Q205379	Battle of Breitenfeld (1631)		Battle of Breitenfeld (1631)
Q205422	Battle of the Little Bighorn		Battle of the Little Bighorn
Q207250	Battle of Lake Trasimene		Battle of Lake Trasimene
Q207576	siege of Vienna	attempt to capture the city of Vienna, Austria	Siege of Vienna
Q208127	Battle of Tsushima	major naval battle between Russia and Japan during the Russo-Japanese War	Battle of Tsushima
Q208529	Battle of Dunkirk	important battle in the Second World War between the Allies and Germany	Battle of Dunkirk
Q209359	Battle of Vimeiro		Battle of Vimeiro
Q209387	battle of Ankara		Battle of Ankara
Q209721	Battle of Cabezón		Battle of Cabezón
Q210354	Battle of Kulikovo		Battle of Kulikovo
Q211219	Battle of Chinsurah		Battle of Chinsurah
Q212220	Battle of Nicopolis	Ottoman victory and raising of the siege of the fortress of Nicopolis in September 1396	Battle of Nicopolis
Q219697	Batalla De Las Navas de Tolosa		Battle of Las Navas de Tolosa
Q221469	First Battle of Bull Run	first major battle of the American Civil War	First Battle of Bull Run
Q221703	Battle of the Ardennes	one of the opening battles of World War I	Battle of the Ardennes
Q221891	Second Battle of Artois		Second Battle of Artois
Q222013	Battle of Bosworth Field	last significant battle of the Wars of the Roses	Battle of Bosworth Field
Q222520	Battle of Bannockburn	battle during the First War of Scottish Independence	Battle of Bannockburn
Q223622	Battle of Prague (1757)	battle of the Seven Years' War	Battle of Prague (1757)
Q233219	Second Battle of Ypres	First World War battle	Second Battle of Ypres
Q233356	Battle of Lacolle Mills	Battle on 30 March 1814 during the War of 1812	Battle of Lacolle Mills (1814)
Q233417	Battle of the Assunpink Creek	battle between American and British troops	Battle of the Assunpink Creek
Q233430	Second Battle of Cape Finisterre	naval battle which took place on 25 October 1747	Second Battle of Cape Finisterre (1747)
Q233568	Battle of Hattin		Battle of Hattin
Q235344	Battle of the Alamo		Battle of the Alamo
Q238440	Battle of Navarino	naval battle during the Greek War of Independence	Battle of Navarino
Q239255	Battle of Arras		Battle of Arras (1917)
Q241108	Battle of Friedland	battle in the War of the Fourth Coalition	Battle of Friedland
Q241110	Battle of Cape Passaro	defeat of a Spanish fleet near Cape Passero, Sicily, on 11 August 1718	Battle of Cape Passaro
Q242644	Battle of Caporetto		Battle of Caporetto
Q244356	Battle of Ain Jalut		Battle of Ain Jalut
Q245773	Battle of Alba de Tormes		Battle of Alba de Tormes
Q246200	Battle of Medina de Rioseco		Battle of Medina de Rioseco
Q247253	Battle of Khe Sanh		Battle of Khe Sanh
Q247871	Battle of Talana Hill		Battle of Talana Hill
Q248979	Battle of Modder River		Battle of Modder River
Q250652	Battle of Sarikamish		Battle of Sarikamish
Q251184	Battle of Signal Hill		Battle of Signal Hill
Q254599	Battle of Shanghai		Battle of Shanghai
Q254797	Battle of Le Bourget		Battle of Le Bourget
Q261345	Battle of Lerida	battle fought on October 7, 1642	Battle of Lerida (1642)
Q262648	Battle of Höchstädt		Battle of Höchstädt (1800)
Q263142	Battle of the Java Sea	decisive naval battle of the Pacific campaign of World War II	Battle of the Java Sea
Q263950	Battle of Elandslaagte		Battle of Elandslaagte
Q273011	Battle of Marengo		Battle of Marengo
Q276059	Battle of Vitoria		Battle of Vitoria
Q281089	Battle of Ludford Bridge		Battle of Ludford Bridge
Q281648	Battle of Dupplin Moor		Battle of Dupplin Moor
Q282262	Battle of Cromdale		Battle of Cromdale
Q283015	Battle of Beaugency		Battle of Beaugency (1429)
Q283062	Battle of Benevento		Battle of Benevento
Q284649	Pointe du Hoc	point of attack during Operation Overlord in World War II	Pointe du Hoc
Q288345	Battle of Lincoln		Battle of Lincoln (1141)
Q289492	Battle of the Zab		Battle of the Zab
Q296754	Battle of Singapore	World War II battle	Battle of Singapore
Q298614	Battle of Asiago		Battle of Asiago
Q301487	Battle of Brandywine		Battle of Brandywine
Q302519	Battle of Adwa		Battle of Adwa
Q303445	Battle of Salzbach		Battle of Salzbach
Q303998	Battle of Tourcoing		Battle of Tourcoing
Q304655	First Battle of Auburn	battle of the American Civil War	First Battle of Auburn
Q305409	Battle of Mine Run	battle of the American Civil War	Battle of Mine Run
Q308999	Battle of Leyte Gulf	the largest naval battle of World War II	Battle of Leyte Gulf
Q311726	Battle of the Plains of Abraham	1759 battle between British and French near Quebec City, Quebec, Canada	Battle of the Plains of Abraham
Q311759	Battle of Vigo Bay		Battle of Vigo Bay
Q312212	Battle of Nördlingen		Battle of Nördlingen (1634)
Q313435	Battle of Leuthen		Battle of Leuthen
Q315310	Battle of Restigouche		Battle of Restigouche
Q316139	Battle of Oudenarde		Battle of Oudenarde
Q316877	Battle of Nancy	final and decisive battle of the Burgundian Wars	Battle of Nancy
Q316897	Battle of Malplaquet		Battle of Malplaquet
Q320394	Battle of Almansa		Battle of Almansa
Q324344	Battle of Roliça		Battle of Roliça
Q324916	Battle of Solferino		Battle of Solferino
Q326417	Battle of Marston Moor		Battle of Marston Moor
Q327052	Battle of Aachen	major conflict of World War II	Battle of Aachen
Q327099	Battle of Kasserine Pass	battle of the Tunisia Campaign of World War II	Battle of Kasserine Pass
Q329534	Battle of Lützen	battle during the War of the Sixth Coalition, 1813	Battle of Lützen (1813)
Q331170	Battle of Montjuïc		Battle of Montjuïc (1641)
Q331347	Battle of Eylau		Battle of Eylau
Q331518	Battle of Rheinfelden		Battle of Rheinfelden
Q331725	Battle of Domstadtl		Battle of Domstadtl
Q332543	Battle of the Pyramids		Battle of the Pyramids
Q334029	Battle of Bunker Hill		Battle of Bunker Hill
Q335174	Battle of Vila Velha		Battle of Vila Velha
Q335288	Battle of Monte Cassino	assaults by the Allies against the Winter Line in Italy held by Axis forces during the Italian Campaign of World War II	Battle of Monte Cassino
Q339052	Battle of Großbeeren		Battle of Großbeeren
Q339321	Battle of the Milvian Bridge		Battle of the Milvian Bridge
Q365640	Battle of Beaver Dams	War of 1812 battle	Battle of Beaver Dams
Q367025	Battle of Lena		Battle of Lena
Q369560	Siege of Baghdad	investment, capture, and sacking of Baghdad in 1258	Siege of Baghdad (1258)
Q369859	Battle of Belmont		Battle of Belmont (1899)
Q370376	Battle of Castricum		Battle of Castricum
Q370671	Battle of Franklin		Battle of Franklin (1864)
Q373401	Battle of Cape St Vincent		Battle of Cape St Vincent (1797)
Q376154	Battle of Copenhagen	British bombardment of Copenhagen in 1807	Battle of Copenhagen (1807)
Q385180	Battle of the Yalu River		Battle of the Yalu River (1894)
Q386578	Battle of Bedriacum		Battle of Bedriacum
Q386601	Battle of Kaiserslautern		Battle of Kaiserslautern
Q388210	Battle of Carabobo	decisive battle of the Venezuelan War of Independence	Battle of Carabobo
Q388689	Battle of York		Battle of York
Q389349	Battle of Bussaco		Battle of Bussaco
Q389932	Battle of Messines		Battle of Messines (1914)
Q390286	Battle of Villaviciosa		Battle of Villaviciosa
Q392121	Action of 13 October 1644		Battle of Fehmarn (1644)
Q392213	Siege of Orléans		Siege of Orléans
Q392538	Battle of Sagrajas		Battle of Sagrajas
Q393299	Battle of Vimy Ridge	World War I battle	Battle of Vimy Ridge
Q399224	Battle of Camarón		Battle of Camarón
Q399482	Siege of Constantinople (674-678)	major conflict of the Arab–Byzantine Wars	Siege of Constantinople (674–78)
Q402312	Battle of Dettingen		Battle of Dettingen
Q425617	Battle of Verneuil		Battle of Verneuil
Q425773	Battle of Guilford Court House		Battle of Guilford Court House
Q426026	Battle of Laon		Battle of Laon
Q426099	Siege of Antwerp	engagement between the German and the Belgian armies during World War I	Siege of Antwerp (1914)
Q426227	Battle of Passchendaele	campaign of the First World War	Battle of Passchendaele
Q427891	Battle of Fort Ligonier		Battle of Fort Ligonier
Q427958	Battle of Sinop		Battle of Sinop
Q428035	Battle of Millesimo		Battle of Millesimo
Q428369	Battle of Nagashino		Battle of Nagashino
Q429655	Battle of Cedar Mountain		Battle of Cedar Mountain
Q431849	Battle of Stormberg		Battle of Stormberg
Q443501	Battle of Neuwied		Battle of Neuwied (1797)
Q450318	Battle of Quiberon Bay		Battle of Quiberon Bay
Q451404	Battle of St. Jakob an der Sihl		Battle of St. Jakob an der Sihl
Q451853	Battle of St. Jakob an der Birs		Battle of St. Jakob an der Birs
Q461599	Battle of Leuctra		Battle of Leuctra
Q464512	Battle of Balaclava	battle of the Crimean War	Battle of Balaclava
Q466391	Battle of Hühnerwasser	the first battle of the Austro-Prussian War	Battle of Hühnerwasser
Q467777	Battle of Wagram		Battle of Wagram
Q471955	Battle of Changsha		Battle of Changsha (1944)
Q472614	Battle of Giornico		Battle of Giornico
Q472672	Battle of Iquique	confrontation that occurred during a conflict between Chile, Peru and Bolivia	Battle of Iquique
Q472982	Siege of Belfort	103-day military assault and blockade of the city of Belfort, France	Siege of Belfort
Q473706	Battle of Kay		Battle of Kay
Q477095	Battle of Suomussalmi	major Finnish victory in the Winter War	Battle of Suomussalmi
Q479979	Battle of Abensberg		Battle of Abensberg
Q483039	Battle of Inchon		Battle of Inchon
Q483088	Battle of Chilcheollyang		Battle of Chilcheollyang
Q483464	Battle of Chipyong-ni		Battle of Chipyong-ni
Q484256	Battle of Okpo		Battle of Okpo
Q484271	Battle of Noryang	last major battle of the Japanese invasions of Korea	Battle of Noryang
Q484494	Battle of Osan		Battle of Osan
Q487076	Battle of Xuan Loc		Battle of Xuân Lộc
Q487332	Battle of Hansan Island		Battle of Hansan Island
Q488278	Battle of Uhud		Battle of Uhud
Q492880	Battle of Taejon	battle of the Korean War	Battle of Taejon
Q493131	Battle of Pyongtaek		Battle of Pyongtaek
Q497797	Battle of Cold Harbor		Battle of Cold Harbor
Q499626	Battle of Stirling Bridge	battle of the First War of Scottish Independence	Battle of Stirling Bridge
Q503347	Attack on Mers-el-Kébir		Attack on Mers-el-Kébir
Q504172	Battle of Guadalete		Battle of Guadalete
Q504347	Battle of the Philippine Sea		Battle of the Philippine Sea
Q505699	Battle of Heiligerlee		Battle of Heiligerlee (1568)
Q506595	Battle of Ajdabiya	battle of the 2011 Libyan Civil War	Battle of Ajdabiya
Q506909	Battle of Warburg		Battle of Warburg
Q506916	Battle of Dobro Pole		Battle of Dobro Pole
Q509417	Battle of the Korsun–Cherkassy Pocket	battle of the Dnieper–Carpathian Offensive in World War II	Battle of the Korsun–Cherkassy Pocket
Q514504	Battle of Sehested		Battle of Sehested
Q515168	Battle off Horaniu	minor naval battle of the Pacific campaign of World War II	Battle off Horaniu
Q516202	Battle of Cherbourg	part of the Battle of Normandy during World War II	Battle of Cherbourg
Q516282	Battle of Raszyn		Battle of Raszyn (1809)
Q517486	battle of Zenta		Battle of Zenta
Q518005	Battle of La Rochelle		Battle of La Rochelle
Q523742	Bombardment of Pape'ete		Bombardment of Papeete
Q523857	Battle of Germantown	October 1777 battle during the American Revolutionary War	Battle of Germantown
Q524828	Battle of the Monongahela		Battle of the Monongahela
Q528183	Battle of Newtown		Battle of Newtown
Q531346	Battle of Valverde		Battle of Valverde
Q533034	Battle of Westerplatte	first battle in the Invasion of Poland, the beginning of the Second World War	Battle of Westerplatte
Q540121	Siege of Maastricht		Siege of Maastricht (1673)
Q541081	Battle of Noisseville		Battle of Noisseville
Q541362	Battle of Lutterberg		Battle of Lutterberg (1758)
Q541647	Battle of the Göhrde	Battle in the War of the Sixth Coalition	Battle of the Göhrde
Q541958	Battle of Mulhouse		Battle of Mulhouse
Q541997	Battle of Alam el Halfa	battle of the Western Desert Campaign of the Second World War	Battle of Alam el Halfa
Q542113	Battle of Podol		Battle of Podol
Q542191	Battle of Konzer Brücke		Battle of Konzer Brücke
Q543028	Battle of Washita River	battle between the  7th U.S. Cavalry attacked Black Kettle’s Southern Cheyenne	Battle of Washita River
Q543075	Battle of Dutch Harbor		Battle of Dutch Harbor
Q543154	Battle of Santa Cruz de Tenerife		Battle of Santa Cruz de Tenerife (1797)
Q543165	Battle of Fort Sumter	immediate cause and first battle of the American Civil War	Battle of Fort Sumter
Q543202	Battle of Tremseh		Battle of Tremseh
Q544090	Battle of Cape Matapan	naval engagement of World War II	Battle of Cape Matapan
Q546317	Battle of Prestonpans		Battle of Prestonpans
Q548252	Battle of Lorraine		Battle of Lorraine
Q548625	Battle of Maiwand		Battle of Maiwand
